Date,Open,High,Low,Close,Volume
2000-10-04,-14996.45703125,-15391.096001176487,-14799.137546286758,-14996.45703125,23912688.0
2000-10-10,-15391.093749999998,-15785.73114346314,-15391.093749999998,-15391.09375,9621505.0
2000-10-11,-16969.646484375,-17166.96442316647,-15785.73125791847,-16969.646484375,89752654.0
2000-10-13,-15785.732421874998,-16180.371366039615,-14601.818626864462,-15785.732421875,33944168.0
2000-10-17,-17166.96875,-17758.9272717987,-17166.96875,-17166.96875,27306297.0
2000-10-18,-16772.33203125,-17166.96954532359,-16575.01251484221,-16772.33203125,37047896.0
2000-10-19,-16575.00390625,-16969.642734101246,-16377.684492324377,-16575.00390625,33193354.0
2000-10-20,-17364.28515625,-17364.28515625,-16772.328258908372,-17364.28515625,28891052.0
2000-10-24,-16575.00390625,-16772.323320175623,-16377.684492324377,-16575.00390625,20909382.0
2000-10-25,-16772.33203125,-17166.96954532359,-16772.33203125,-16772.33203125,11467359.0
2000-10-26,-16575.00390625,-16969.642734101246,-16377.684492324377,-16575.00390625,33193354.0
2000-10-30,-16377.690429687498,-16772.329400606224,-16180.372462969895,-16377.6904296875,10093233.0
2000-11-01,-16575.00390625,-16969.642734101246,-16377.684492324377,-16575.00390625,21205695.0
2000-11-03,-17758.923828125,-17956.293415602406,-17561.604359121437,-17758.923828125,30331201.0
2000-11-06,-17956.296875,-18548.25387731343,-17956.296875,-17956.296875,42950123.0
2000-11-07,-17758.923828125,-18153.61288460597,-17758.923828125,-17758.923828125,16145818.0
2000-11-08,-17166.96875,-17364.288257266235,-16969.650761475692,-17166.96875,9283064.0
2000-11-09,-16969.646484375,-17166.96442316647,-16575.007569308975,-16969.646484375,26318432.0
2000-11-10,-17166.96875,-17561.607764532466,-17166.96875,-17166.96875,12510374.0
2000-11-13,-16969.646484375,-17166.96442316647,-16772.327026841987,-16969.646484375,9571418.0
2000-11-14,-15983.0556640625,-16969.651738452027,-15785.736145436193,-15983.0556640625,36699448.0
2000-11-15,-15983.0556640625,-16377.693182573103,-15785.736145436193,-15983.0556640625,17279233.0
2000-11-16,-15983.0556640625,-16377.693182573103,-15785.736145436193,-15983.0556640625,30336021.0
2000-11-17,-15785.732421874998,-15983.051893957307,-15588.412949792692,-15785.732421875,10814024.0
2000-11-20,-14996.45703125,-15588.413967397975,-14601.819580065268,-14996.45703125,22181889.0
2000-11-22,-13023.2138671875,-14009.809679820935,-12431.256227733278,-13023.2138671875,69403323.0
2000-11-23,-13615.1708984375,-14009.809835369118,-13023.214011781702,-13615.1708984375,34296644.0
2000-11-24,-13023.2138671875,-13417.851280995908,-12825.894400912492,-13023.2138671875,26430279.0
2000-11-27,-13023.2138671875,-13220.533333462508,-12628.575694008287,-13023.2138671875,31024738.0
2000-11-28,-11247.3408203125,-12431.255246390032,-11247.3408203125,-11247.3408203125,46375404.0
2000-11-29,-11444.6591796875,-11641.97785219942,-10458.012661180792,-11444.6591796875,73799696.0
2000-11-30,-11641.978515625,-11839.297958751968,-11247.34038874178,-11641.978515625,33093213.0
2000-12-01,-10458.0146484375,-11247.341885051444,-10260.695179059794,-10458.0146484375,50726549.0
2000-12-04,-9668.7373046875,-11050.022049348478,-9471.417855411268,-9668.7373046875,31964920.0
2000-12-05,-10852.703124999998,-10852.703124999998,-9866.056471798238,-10852.703125,49041849.0
2000-12-06,-12628.57421875,-12628.57421875,-12036.61664844771,-12628.57421875,2176574.0
2000-12-07,-13023.2138671875,-14404.498730844103,-12825.894400912492,-13023.2138671875,91956914.0
2000-12-08,-11444.6591796875,-11839.297284082013,-10852.701643410393,-11444.6591796875,43174100.0
2000-12-11,-11641.978515625,-12825.892896274658,-11641.978515625,-11641.978515625,29965220.0
2000-12-12,-11444.6591796875,-12036.615956593932,-11247.339747804906,-11444.6591796875,61153473.0
2000-12-13,-10260.6962890625,-11641.98132386624,-10260.6962890625,-10260.6962890625,24558886.0
2000-12-14,-10260.6962890625,-10655.334511139079,-10063.377557709659,-10260.6962890625,16742209.0
2000-12-15,-11444.6591796875,-11839.297284082013,-10852.701643410393,-11444.6591796875,43174100.0
2000-12-18,-10852.703124999998,-10852.703124999998,-10458.01408888823,-10852.703125,11352001.0
2000-12-19,-10458.0146484375,-10852.70370566685,-10260.695179059794,-10458.0146484375,8126240.0
2000-12-20,-10260.6962890625,-11641.98132386624,-10260.6962890625,-10260.6962890625,24558886.0
2000-12-21,-10458.0146484375,-10655.33335844439,-10260.695179059794,-10458.0146484375,16497698.0
2000-12-22,-10852.703124999998,-11050.022583820255,-10260.694630067974,-10852.703125,25898326.0
2000-12-25,-10852.703124999998,-10852.703124999998,-10458.01408888823,-10852.703125,11352001.0
2001-01-02,-10458.0146484375,-10852.70370566685,-10458.0146484375,-10458.0146484375,8299016.0
2001-01-03,-10852.703124999998,-11050.022583820255,-10655.33278833771,-10852.703125,5365690.0
2001-01-04,-11247.3408203125,-11444.660271010795,-10655.332349748422,-11247.3408203125,50191433.0
2001-01-05,-11641.978515625,-11839.297958751968,-11444.659831868748,-11641.978515625,31747868.0
2001-01-08,-11641.978515625,-11839.297958751968,-11247.34038874178,-11641.978515625,16763536.0
2001-01-09,-12431.2578125,-12628.577303929775,-12233.939080441129,-12431.2578125,39332858.0
2001-01-10,-12825.893554687502,-13023.213007943796,-12431.255407545668,-12825.8935546875,38915916.0
2001-01-11,-12825.893554687502,-13615.169848971167,-12825.893554687502,-12825.8935546875,35473598.0
2001-01-12,-12233.9345703125,-12825.891307630876,-12036.61515162596,-12233.9345703125,38463165.0
2001-01-15,-11641.978515625,-12233.936085635187,-11444.659831868748,-11641.978515625,17989109.0
2001-01-16,-11050.0234375,-11444.661626257874,-10852.703963435646,-11050.0234375,42234360.0
2001-01-17,-11050.0234375,-11247.34215219352,-10852.703963435646,-11050.0234375,21355851.0
2001-01-18,-11050.0234375,-11050.0234375,-11050.0234375,-11050.0234375,0.0
2001-01-19,-11247.3408203125,-11444.660271010795,-10852.702678286656,-11247.3408203125,19358592.0
2001-01-22,-11641.978515625,-12036.61664250822,-11444.659831868748,-11641.978515625,34959858.0
2001-01-23,-10852.703124999998,-11444.66074208999,-10852.703124999998,-10852.703125,20241509.0
2001-01-24,-10852.703124999998,-10852.703124999998,-10852.703124999998,-10852.703125,0.0
2001-01-25,-10063.3759765625,-10655.332836984275,-9866.056516841389,-10063.3759765625,47036099.0
2001-01-26,-10063.3759765625,-10458.014136633943,-9866.056516841389,-10063.3759765625,48258754.0
2001-01-29,-9274.099609375,-10063.375925514134,-9274.099609375,-9274.099609375,12797242.0
2001-01-30,-9668.7373046875,-10260.694133774716,-9274.099165505775,-9668.7373046875,29726897.0
2001-01-31,-9471.4189453125,-9668.738417294804,-9076.780760718715,-9471.4189453125,14341963.0
2001-02-01,-9866.056640625,-10063.376102821763,-9668.737937799027,-9866.056640625,11453736.0
2001-02-02,-9668.7373046875,-10063.375443869225,-9668.7373046875,-9668.7373046875,15866885.0
2001-02-05,-9274.099609375,-9668.737767444567,-9076.780150654828,-9274.099609375,27023185.0
2001-02-06,-9076.7802734375,-9076.7802734375,-8682.142110029617,-9076.7802734375,10805482.0
2001-02-07,-9076.7802734375,-9076.7802734375,-9076.7802734375,-9076.7802734375,0.0
2001-02-08,-9471.4189453125,-9866.057129906283,-9076.780760718715,-9471.4189453125,53973300.0
2001-02-09,-8879.4619140625,-9471.418802331556,-8879.4619140625,-8879.4619140625,44992256.0
2001-02-12,-9076.7802734375,-9471.418436845384,-8879.461571418951,-9076.7802734375,11856799.0
2001-02-13,-9274.099609375,-9471.418308724395,-9076.780150654828,-9274.099609375,61155055.0
2001-02-14,-9668.7373046875,-9866.055994592993,-9471.417855411268,-9668.7373046875,22196416.0
2001-02-15,-10260.6962890625,-10260.6962890625,-9076.78162283276,-10260.6962890625,218273205.0
2001-02-16,-10260.6962890625,-10260.6962890625,-10260.6962890625,-10260.6962890625,0.0
2001-02-22,-7971.804687500001,-7971.804687500001,-6393.200239763419,-7971.8046875,112408692.0
2001-02-28,-8090.187499999999,-8879.46404685168,-8090.187499999999,-8090.1875,481067234.0
2001-03-01,-8682.142578125,-8682.142578125,-8287.504393440304,-8682.142578125,29839584.0
2001-03-02,-8682.142578125,-9076.780762809694,-8484.823865468066,-8682.142578125,36605346.0
2001-03-09,-8682.142578125,-9076.780762809694,-8484.823865468066,-8682.142578125,36605346.0
2001-03-12,-8484.8232421875,-9076.780096044995,-8287.503784654487,-8484.8232421875,22808752.0
2001-03-14,-8050.689453125,-8287.503002779422,-7656.0513346614325,-8050.689453125,38340814.0
2001-03-15,-7813.928710937499,-7971.8049559413885,-7577.115862173441,-7813.9287109375,38317380.0
2001-03-16,-8484.8232421875,-8484.8232421875,-7892.865628959235,-8484.8232421875,26255709.0
2001-03-19,-8484.8232421875,-8879.461397882753,-8484.8232421875,-8484.8232421875,17827225.0
2001-03-20,-8484.8232421875,-8682.141940349742,-8090.185086492247,-8484.8232421875,20135454.0
2001-03-21,-8484.8232421875,-8682.141940349742,-8287.503784654487,-8484.8232421875,19106939.0
2001-03-22,-8090.187499999999,-8484.82577342584,-7892.86798360158,-8090.1875,14610494.0
2001-03-26,-7695.546874999999,-8287.503724565477,-7695.546874999999,-7695.546875,8580269.0
2001-03-27,-7577.114746093751,-7892.865670850863,-7577.114746093751,-7577.11474609375,19686135.0
2001-03-28,-7261.4130859375,-7577.1138551001295,-7182.47574371586,-7261.4130859375,33830483.0
2001-03-29,-7103.53857421875,-7261.414038748443,-7024.651340111175,-7103.53857421875,58047661.0
2001-03-30,-7419.2900390625,-7498.228156713259,-7103.539087201144,-7419.2900390625,33751292.0
2001-04-02,-8366.44140625,-8445.327874883806,-8050.689742247684,-8366.44140625,48505464.0
2001-04-03,-8287.501953125,-8484.821367050623,-7892.863884644358,-8287.501953125,16294111.0
2001-04-04,-7892.866210937499,-8287.504395731288,-7892.866210937499,-7892.8662109375,21925912.0
2001-04-05,-8484.8232421875,-8484.8232421875,-8090.185086492247,-8484.8232421875,43541218.0
2001-04-06,-8287.501953125,-8682.140021605643,-8090.183298569981,-8287.501953125,31052759.0
2001-04-10,-8287.501953125,-8287.501953125,-7892.863884644358,-8287.501953125,13344915.0
2001-04-11,-8090.187499999999,-8287.50625702742,-8090.187499999999,-8090.1875,22145410.0
2001-04-12,-8682.142578125,-8682.142578125,-8287.504393440304,-8682.142578125,20710364.0
2001-04-13,-9274.099609375,-9274.099609375,-8879.461451305433,-9274.099609375,27383976.0
2001-04-16,-8879.4619140625,-9076.780623695247,-8484.823735426191,-8879.4619140625,31669809.0
2001-04-17,-8287.501953125,-9076.778090086284,-8287.501953125,-8287.501953125,46761730.0
2001-04-18,-8287.501953125,-8484.821367050623,-8090.183298569981,-8287.501953125,18369379.0
2001-04-19,-8484.8232421875,-8682.141940349742,-8287.503784654487,-8484.8232421875,8134956.0
2001-04-20,-8879.4619140625,-9076.780623695247,-8484.823735426191,-8879.4619140625,45649572.0
2001-04-24,-9274.099609375,-9471.418308724395,-8879.461451305433,-9274.099609375,55189851.0
2001-04-25,-9471.4189453125,-9866.057129906283,-9274.100232701021,-9471.4189453125,39623079.0
2001-04-26,-9471.4189453125,-9866.057129906283,-9274.100232701021,-9471.4189453125,39623079.0
2001-04-27,-10852.703124999998,-10852.703124999998,-10458.01408888823,-10852.703125,9220665.0
2001-04-30,-12233.9345703125,-12825.891307630876,-11641.977073623502,-12233.9345703125,136044654.0
2001-05-02,-12628.57421875,-13023.212345827955,-12233.936091672047,-12628.57421875,26183702.0
2001-05-03,-13615.1708984375,-13615.1708984375,-13023.214011781702,-13615.1708984375,71063937.0
2001-05-04,-13812.4892578125,-14404.497734147584,-13615.169805190699,-13812.4892578125,56032646.0
2001-05-07,-12825.893554687502,-13417.850395714873,-12825.893554687502,-12825.8935546875,45798385.0
2001-05-10,-12825.893554687502,-13417.850395714873,-12628.574860801962,-12825.8935546875,50188075.0
2001-05-11,-12628.57421875,-13023.212345827955,-12431.254775525666,-12628.57421875,36357478.0
2001-05-14,-13023.2138671875,-13023.2138671875,-12628.575694008287,-13023.2138671875,25763952.0
2001-05-15,-12825.893554687502,-13023.213007943796,-12628.574860801962,-12825.8935546875,19204867.0
2001-05-16,-13023.2138671875,-13220.533333462508,-12628.575694008287,-13023.2138671875,70794309.0
2001-05-17,-13615.1708984375,-14009.809835369118,-13417.851429971692,-13615.1708984375,44544290.0
2001-05-21,-13615.1708984375,-14009.809835369118,-13417.851429971692,-13615.1708984375,11606110.0
2001-05-22,-14207.125976562498,-14207.125976562498,-13615.169165261288,-14207.1259765625,37492869.0
2001-05-23,-13615.1708984375,-14207.127785093298,-13417.851429971692,-13615.1708984375,20773851.0
2001-05-25,-13023.2138671875,-13023.2138671875,-12825.894400912492,-13023.2138671875,3974375.0
2001-05-28,-12825.893554687502,-13220.53246120009,-12628.574860801962,-12825.8935546875,9137782.0
2001-05-31,-10655.333984375,-12036.61895089263,-10655.333984375,-10655.333984375,56277154.0
2001-06-01,-11641.978515625,-11641.978515625,-11050.02170498553,-11641.978515625,18963856.0
2001-06-04,-11839.2998046875,-12036.618519208883,-11641.98033079528,-11839.2998046875,24805979.0
2001-06-05,-11444.6591796875,-11839.297284082013,-11247.339747804906,-11444.6591796875,19161943.0
2001-06-07,-11839.2998046875,-12233.937993101103,-11641.98033079528,-11839.2998046875,21014421.0
2001-06-08,-12431.2578125,-12628.577303929775,-12036.619589011356,-12431.2578125,47914412.0
2001-06-11,-11839.2998046875,-12431.256707622486,-11839.2998046875,-11839.2998046875,8966362.0
2001-06-12,-11444.6591796875,-11839.297284082013,-11247.339747804906,-11444.6591796875,13293137.0
2001-06-13,-11444.6591796875,-11839.297284082013,-11444.6591796875,-11444.6591796875,8903550.0
2001-06-14,-11444.6591796875,-11641.97785219942,-11050.021075292985,-11444.6591796875,9635322.0
2001-06-15,-12233.9345703125,-12233.9345703125,-11839.29649231004,-12233.9345703125,30973490.0
2001-06-19,-11444.6591796875,-12431.254060988447,-11050.021075292985,-11444.6591796875,42043070.0
2001-06-20,-11247.3408203125,-11444.660271010795,-11050.02212898495,-11247.3408203125,11216159.0
2001-06-21,-11247.3408203125,-11641.978962338344,-11050.02212898495,-11247.3408203125,16419316.0
2001-06-22,-11247.3408203125,-11444.660271010795,-11247.3408203125,-11247.3408203125,5998945.0
2001-06-25,-11247.3408203125,-11641.978962338344,-11247.3408203125,-11247.3408203125,22308420.0
2001-06-26,-11444.6591796875,-11444.6591796875,-11050.021075292985,-11444.6591796875,8430019.0
2001-06-27,-11641.978515625,-12036.61664250822,-11444.659831868748,-11641.978515625,23949701.0
2001-06-29,-11247.3408203125,-11444.660271010795,-11050.02212898495,-11247.3408203125,8294174.0
2001-07-02,-10852.703124999998,-11247.341283269734,-10852.703124999998,-10852.703125,5319397.0
2001-07-04,-11050.0234375,-11444.661626257874,-10852.703963435646,-11050.0234375,10974806.0
2001-07-05,-11247.3408203125,-11444.660271010795,-11247.3408203125,-11247.3408203125,5234565.0
2001-07-06,-10852.703124999998,-11444.66074208999,-10655.33278833771,-10852.703125,10756138.0
2001-07-09,-10852.703124999998,-10852.703124999998,-10458.01408888823,-10852.703125,9288671.0
2001-07-10,-11247.3408203125,-11247.3408203125,-11050.02212898495,-11247.3408203125,9473771.0
2001-07-12,-9274.099609375,-9274.099609375,-8484.823293235866,-9274.099609375,41927093.0
2001-07-13,-9076.7802734375,-9471.418436845384,-8879.461571418951,-9076.7802734375,21116830.0
2001-07-16,-8682.142578125,-8879.46205015276,-8287.504393440304,-8682.142578125,11522369.0
2001-07-18,-8879.4619140625,-9274.100092698809,-8484.823735426191,-8879.4619140625,29005042.0
2001-07-19,-8484.8232421875,-8682.141940349742,-8090.185086492247,-8484.8232421875,25749203.0
2001-07-20,-8682.142578125,-9076.780762809694,-8484.823865468066,-8682.142578125,39840857.0
2001-07-23,-8682.142578125,-8879.46205015276,-8484.823865468066,-8682.142578125,27307092.0
2001-07-25,-9274.099609375,-9471.418308724395,-9076.780150654828,-9274.099609375,12063306.0
2001-07-26,-8879.4619140625,-9076.780623695247,-8484.823735426191,-8879.4619140625,19356523.0
2001-07-27,-9076.7802734375,-9274.099734826836,-9076.7802734375,-9076.7802734375,7620371.0
2001-07-30,-9274.099609375,-9471.418308724395,-9076.780150654828,-9274.099609375,11282509.0
2001-07-31,-9076.7802734375,-9274.099734826836,-8879.461571418951,-9076.7802734375,8535233.0
2001-08-02,-8879.4619140625,-9076.780623695247,-8484.823735426191,-8879.4619140625,19356523.0
2001-08-07,-9076.7802734375,-9076.7802734375,-8879.461571418951,-9076.7802734375,6280105.0
2001-08-08,-8879.4619140625,-8879.4619140625,-8682.142445058937,-8879.4619140625,8889852.0
2001-08-10,-8484.8232421875,-8879.461397882753,-8484.8232421875,-8484.8232421875,6843835.0
2001-08-13,-8287.501953125,-8682.140021605643,-8090.183298569981,-8287.501953125,9634964.0
2001-08-14,-8287.501953125,-8484.821367050623,-8090.183298569981,-8287.501953125,1675171.0
2001-08-15,-8484.8232421875,-8682.141940349742,-8090.185086492247,-8484.8232421875,13691453.0
2001-08-16,-8682.142578125,-8879.46205015276,-8484.823865468066,-8682.142578125,19467158.0
2001-08-17,-9274.099609375,-9471.418308724395,-8682.14199258526,-9274.099609375,27785839.0
2001-08-20,-9668.7373046875,-9866.055994592993,-9471.417855411268,-9668.7373046875,11155445.0
2001-08-21,-10063.3759765625,-10260.694676912832,-9866.056516841389,-10063.3759765625,22935245.0
2001-08-22,-9866.056640625,-10260.694805647736,-9668.737937799027,-9866.056640625,8838438.0
2001-08-23,-10063.3759765625,-10063.3759765625,-9866.056516841389,-10063.3759765625,7565833.0
2001-08-24,-10063.3759765625,-10458.014136633943,-9866.056516841389,-10063.3759765625,23579616.0
2001-08-27,-11444.6591796875,-11641.97785219942,-10655.331333692711,-11444.6591796875,38758210.0
2001-08-29,-11247.3408203125,-11641.978962338344,-11050.02212898495,-11247.3408203125,15953543.0
2001-08-31,-10852.703124999998,-11050.022583820255,-10458.01408888823,-10852.703125,16714854.0
2001-09-04,-10655.333984375,-10852.70434319167,-10260.695781808014,-10655.333984375,19832491.0
2001-09-05,-10852.703124999998,-11050.022583820255,-10655.33278833771,-10852.703125,23219494.0
2001-09-06,-11247.3408203125,-11247.3408203125,-10852.702678286656,-11247.3408203125,20540512.0
2001-09-10,-10852.703124999998,-11050.022583820255,-10655.33278833771,-10852.703125,8410843.0
2001-09-25,-9668.7373046875,-10063.375443869225,-9471.417855411268,-9668.7373046875,20620646.0
2001-09-27,-9668.7373046875,-9668.7373046875,-9274.099165505775,-9668.7373046875,10213871.0
2001-10-01,-10063.3759765625,-10655.332836984275,-10063.3759765625,-10063.3759765625,28097481.0
2001-10-02,-10063.3759765625,-10260.694676912832,-9866.056516841389,-10063.3759765625,6588172.0
2001-10-03,-10260.6962890625,-10458.01577978624,-10063.377557709659,-10260.6962890625,18598613.0
2001-10-04,-10458.0146484375,-10655.33335844439,-10063.376469052906,-10458.0146484375,27479032.0
2001-10-05,-10260.6962890625,-10458.01577978624,-9866.05806698592,-10260.6962890625,24047672.0
2001-10-08,-9866.056640625,-9866.056640625,-9471.418475602264,-9866.056640625,19125379.0
2001-10-09,-9866.056640625,-10063.376102821763,-9668.737937799027,-9866.056640625,12489944.0
2001-10-10,-10458.0146484375,-10655.33335844439,-10063.376469052906,-10458.0146484375,14595481.0
2001-10-11,-11247.3408203125,-11641.978962338344,-10852.702678286656,-11247.3408203125,45802507.0
2001-10-12,-11050.0234375,-11839.299815015745,-10655.33361152533,-11050.0234375,51426888.0
